,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,description.1,data_processing,data_processing.1,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,supplementary_file.1,data_row_count,relation,material:ch1,methylation class:ch1,tissue:ch1,gender,sex
GSM2403682,"GBM, RTK II, sample 829 [reference set]",GSM2403682,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403682/suppl/GSM2403682_8963282018_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403682/suppl/GSM2403682_8963282018_R01C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,F,2
GSM2403683,"GBM, RTK II, sample 830 [reference set]",GSM2403683,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403683/suppl/GSM2403683_8963282062_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403683/suppl/GSM2403683_8963282062_R04C01_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,M,1
GSM2403684,"GBM, MES, sample 831 [reference set]",GSM2403684,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403684/suppl/GSM2403684_8963282018_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403684/suppl/GSM2403684_8963282018_R02C02_Red.idat.gz,0,,Frozen,"GBM, MES",NA,M,1
GSM2403685,"GBM, RTK II, sample 832 [reference set]",GSM2403685,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403685/suppl/GSM2403685_8963282062_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403685/suppl/GSM2403685_8963282062_R06C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,M,1
GSM2403688,"GBM, RTK I, sample 835 [reference set]",GSM2403688,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK I",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403688/suppl/GSM2403688_8963282062_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403688/suppl/GSM2403688_8963282062_R02C01_Red.idat.gz,0,,Frozen,"GBM, RTK I",NA,M,1
GSM2403689,"GBM, RTK II, sample 836 [reference set]",GSM2403689,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403689/suppl/GSM2403689_8963311098_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403689/suppl/GSM2403689_8963311098_R02C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,M,1
GSM2403690,"GBM, RTK I, sample 837 [reference set]",GSM2403690,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK I",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403690/suppl/GSM2403690_8963311098_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403690/suppl/GSM2403690_8963311098_R04C01_Red.idat.gz,0,,Frozen,"GBM, RTK I",NA,M,1
GSM2403691,"GBM, RTK II, sample 838 [reference set]",GSM2403691,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403691/suppl/GSM2403691_8963282046_R03C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403691/suppl/GSM2403691_8963282046_R03C01_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,M,1
GSM2403693,"GBM, RTK I, sample 840 [reference set]",GSM2403693,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK I",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403693/suppl/GSM2403693_9007217139_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403693/suppl/GSM2403693_9007217139_R02C02_Red.idat.gz,0,,Frozen,"GBM, RTK I",NA,F,2
GSM2403696,"GBM, RTK I, sample 843 [reference set]",GSM2403696,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK I",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403696/suppl/GSM2403696_9007217139_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403696/suppl/GSM2403696_9007217139_R01C02_Red.idat.gz,0,,Frozen,"GBM, RTK I",NA,M,1
GSM2403697,"GBM, RTK II, sample 844 [reference set]",GSM2403697,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403697/suppl/GSM2403697_9007217139_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403697/suppl/GSM2403697_9007217139_R03C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,F,2
GSM2403724,"GBM, RTK II, sample 871 [reference set]",GSM2403724,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403724/suppl/GSM2403724_9007225082_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403724/suppl/GSM2403724_9007225082_R05C02_Red.idat.gz,0,,Frozen,"GBM, RTK II",NA,M,1
GSM2403729,"GBM, RTK II, sample 876 [reference set]",GSM2403729,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403729/suppl/GSM2403729_9221197135_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403729/suppl/GSM2403729_9221197135_R04C01_Red.idat.gz,0,,FFPE,"GBM, RTK II",NA,F,2
GSM2403738,"GBM, MES, sample 885 [reference set]",GSM2403738,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MES",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403738/suppl/GSM2403738_9007225086_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403738/suppl/GSM2403738_9007225086_R02C02_Red.idat.gz,0,,FFPE,"GBM, MES",NA,F,2
GSM2403740,"GBM, G34, sample 887 [reference set]",GSM2403740,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403740/suppl/GSM2403740_9007225163_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403740/suppl/GSM2403740_9007225163_R05C02_Red.idat.gz,0,,FFPE,"GBM, G34",NA,M,1
GSM2403748,"GBM, G34, sample 895 [reference set]",GSM2403748,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403748/suppl/GSM2403748_9007225163_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403748/suppl/GSM2403748_9007225163_R01C02_Red.idat.gz,0,,FFPE,"GBM, G34",NA,M,1
GSM2403896,"GBM, MYCN, sample 1043 [reference set]",GSM2403896,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MYCN",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403896/suppl/GSM2403896_9297949146_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2403nnn/GSM2403896/suppl/GSM2403896_9297949146_R06C02_Red.idat.gz,0,,Frozen,"GBM, MYCN",NA,M,1
GSM2404023,"GBM, RTK III, sample 1170 [reference set]",GSM2404023,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK III",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404023/suppl/GSM2404023_9340996014_R04C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404023/suppl/GSM2404023_9340996014_R04C02_Red.idat.gz,0,,FFPE,"GBM, RTK III",NA,F,2
GSM2404025,"GBM, RTK III, sample 1172 [reference set]",GSM2404025,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK III",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404025/suppl/GSM2404025_9340996014_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404025/suppl/GSM2404025_9340996014_R05C01_Red.idat.gz,0,,FFPE,"GBM, RTK III",NA,M,1
GSM2404026,"GBM, MYCN, sample 1173 [reference set]",GSM2404026,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MYCN",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404026/suppl/GSM2404026_9340996014_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404026/suppl/GSM2404026_9340996014_R02C01_Red.idat.gz,0,,FFPE,"GBM, MYCN",NA,F,2
GSM2404042,"GBM, RTK II, sample 1189 [reference set]",GSM2404042,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK II",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404042/suppl/GSM2404042_9373550164_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404042/suppl/GSM2404042_9373550164_R05C02_Red.idat.gz,0,,FFPE,"GBM, RTK II",NA,F,2
GSM2404056,"GBM, RTK I, sample 1203 [reference set]",GSM2404056,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK I",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404056/suppl/GSM2404056_9373551023_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404056/suppl/GSM2404056_9373551023_R03C02_Red.idat.gz,0,,FFPE,"GBM, RTK I",NA,F,2
GSM2404067,"GBM, MID, sample 1214 [reference set]",GSM2404067,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MID",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404067/suppl/GSM2404067_9374341006_R04C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404067/suppl/GSM2404067_9374341006_R04C02_Red.idat.gz,0,,Frozen,"GBM, MID",NA,M,1
GSM2404131,"GBM, RTK III, sample 1278 [reference set]",GSM2404131,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, RTK III",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404131/suppl/GSM2404131_9406921073_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404131/suppl/GSM2404131_9406921073_R04C01_Red.idat.gz,0,,FFPE,"GBM, RTK III",NA,M,1
GSM2404132,"GBM, G34, sample 1279 [reference set]",GSM2404132,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: FFPE,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404132/suppl/GSM2404132_9406921073_R06C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2404nnn/GSM2404132/suppl/GSM2404132_9406921073_R06C01_Red.idat.gz,0,,FFPE,"GBM, G34",NA,M,1
